SciName,Origin,Origin2,Notes
Acer_glabrum,NTm,,
Achillea_millefolium,NTm,,Weber 2003: Achillea is a diverse genus in Asia
Achnatherum_hymenoides,Unk,,
Achnatherum_nelsonii,Unk,,
Achnatherum_scribneri,Unk,,
Agoseris_aurantiaca,NTm,,
Agoseris_glauca,NTm,,
Agropyron_cristatum,NTm,,
Agrostis_scabra,NTm,,
Aliciella_pinnatifida,NA,,
Allium_cernuum,NTm,,Weber 2003: Allium is a diverse genus in Asia
Amaranthus,WTD,,
Amaranthus_retroflexus,WTD,,
Androsace_septentrionalis,NTm,,"Weber 2003: Androsace is a diverse genus in Asia, and A. septentrionalis is oroboreal."
Anemone_canadensis,NTm,,
Anemone_cylindrica,NTm,,
Angelica,NTm,,Weber 2003: Angelica is a diverse genus in Asia
Antennaria_neglecta,NTm,,Weber 2003: Many N. American Antennaria spp. appear to be closely related to Asian spp.
Antennaria_parvifolia,NTm,,Weber 2003: Many N. American Antennaria spp. appear to be closely related to Asian spp.
Antennaria_rosea,NTm,,Weber 2003: Many N. American Antennaria spp. appear to be closely related to Asian spp.
Apocynum_androsaemifolium,Unk,,
Aquilegia_coerulea,NTm,,Weber 2003: Aquilegia is a diverse genus in Asia
Arabis,NTm,,
Arabis_fendleri,NTm,,
Arabis_glabra,NTm,,
Arabis_hirsuta,NTm,,
Aralia_nudicaulis,NTm,,
Arctostaphylos_uva-ursi,MaT,,
Arenaria_hookeri,NTm,,Weber 2003: Arenaria (Eremogone) is a diverse genus in Asia
Artemisia_campestris,NTm,,Weber 2003: Artemisia is a diverse genus in Asia
Artemisia_filifolia,NTm,,Weber 2003: Artemisia is a diverse genus in Asia
Artemisia_frigida,NTm,,Weber 2003: Artemisia is a diverse genus in Asia; A. frigida is also in Asia
Artemisia_ludoviciana,NTm,,Weber 2003: Artemisia is a diverse genus in Asia
Astragalus_alpinus,NA,,Weber 2003: principally an Asian genus with a small center of diversity in w. N. America
Astragalus_miser,NA,,Weber 2003: principally an Asian genus with a small center of diversity in w. N. America
Astragalus_parryi,NA,,Weber 2003: principally an Asian genus with a small center of diversity in w. N. America
Axyris_amaranthoides,NA,NTm,Weber 2003: Asian origin
Bahia_dissecta,WTD,,
Bassia_scoparia,Unk,WTD, Syn. Kochia scoparia; in R&A 1978
Besseya_plantaginea,NA,,"Weber 2003: Exclusively N. American genus, but must be closely related to the Asian genus Lagotis"
Betula_occidentalis,NTm,,Weber 2003: Asian origin
Blepharoneuron_tricholepis,WTD,,
Bouteloua_gracilis,WTD,,
Brickellia_eupatorioides,WTD,,
Brickellia_grandiflora,WTD,,
Bromus_ciliatus,NTm,,Weber 2003: Bromus (Bromopsis) spp. are also in Eurasia
Bromus_inermis,NTm,,Weber 2003: Bromus (Bromopsis) inermis is from Eurasia
Bromus_tectorum,NTm,,
Calamagrostis_canadensis,NTm,,"Weber 2003: C. canadensis is oroboreal, and many Calamagrostis spp.also occur in Eurasia"
Calamagrostis_purpurascens,NTm,,Weber: Calamagrostis spp. also occur in Eurasia
Camelina_microcarpa,Unk,,
Campanula_rotundifolia,NTm,,
Carduus/Cirsium,NA,,
Carduus_nutans,Unk,NTm, Weber 2003: Asian origin
Carex,NTm,,Weber 2003: Carices are also abundant in Asia
Castilleja_integra,NTm,,Weber 2003: Castilleja is also found in Asia but impoverished; diversified in N. American desert steppe
Castilleja_miniata,NTm,,Weber 2003: Castilleja is also found in Asia but impoverished; diversified in N. American desert steppe
Cerastium_arvense,NTm,,Weber 2003: Asian origin
Cercocarpus_montanus,CFP,,
Chaenactis_douglasii,CFP,,
Chamaesyce_maculata,WTD,,
Chamerion_angustifolium,NA,CFP,"Syn. Epilobium angustifolium; in R&A 1978; Weber 2003: oroboreal species, and the genus Chamerion also occurs in Asia"
Chenopodium,WTD,,
Chenopodium_capitatum,WTD,,
Chenopodium_graveolens,WTD,,
Cinna_latifolia,NTm,,Weber 2003: oroboreal
Cirsium_arvense,NTm,,
Cirsium_canescens,NTm,,
Cirsium_undulatum,NTm,,
Clematis_columbiana,NTm,,
Clematis_ligusticifolia,NTm,,
Collomia_linearis,CFP,,
Conyza_canadensis,WTD,,
Cornus_sericea,NTm,,
Corydalis_aurea,NTm,,Weber 2003: Eursian origin
Crepis,NTm,,
Cryptantha_virgata,CFP,,
Cystopteris_fragilis,Unk,,
Dactylis_glomerata,Unk,,
Danthonia_spicata,NTm,,
Dasiphora_fruticosa,NA,NTm,Syn. Potentilla fruticosa; in R&A 1978
Delphinium_ÌÑoccidentale,NTm,,Weber 2003: Delphinium spp. are diverse in w. N. America and in Asia
Descurainia,NTm,,
Descurainia_incana,NTm,,
Descurainia_sophia,NTm,,
Dodecatheon_pulchellum,NTm,,
Dracocephalum_parviflorum,NA,,
Elymus,NTm,,
Elymus_elymoides,NTm,,
Elymus_lanceolatus,NTm,,
Elymus_trachycaulus,NTm,,
Epilobium,CFP,,Weber 2003: Ebilobium spp. are also in Asia
Epilobium_brachycarpum,CFP,,Weber 2003: Ebilobium spp. are also in Asia
Epilobium_ciliatum,CFP,,Weber 2003: Ebilobium spp. are also in Asia
Equisetum_arvense,Unk,,
Ericameria_nauseosa,WTD,,
Ericameria_parryi,WTD,,
Erigeron,NTm,,
Erigeron_compositus,NTm,,
Erigeron_divergens,NTm,,
Erigeron_flagellaris,NTm,,
Erigeron_pumilus,NTm,,
Erigeron_subtrinervis,NTm,,
Erigeron_vetensis,NTm,,
Eriogonum_alatum,CFP,,
Eriogonum_umbellatum,CFP,,
Erysimum_capitatum,NTm,,
Euphorbia_brachycera,NA,,
Festuca_saximontana,NTm,,Weber 2003: Festuca spp. are also in Asia
Fragaria,NTm,,
Gaillardia_aristata,CFP,,
Galium_boreale,MaT,,
Galium_triflorum,Unk,,RnA.original = NTm
Gayophytum_diffusum,CFP,,
Gentiana,NTm,,
Gentianella_amarella,Unk,,
Geranium_caespitosum,NTm,,
Geranium_richardsonii,NTm,,
Geum_aleppicum,NTm,,
Geum_macrophyllum,NTm,,
Gutierrezia_sarothrae,Unk,,
Hackelia_floribunda,NTm,,
Helianthella_parryi,CFP,,
Helianthus_pumilus,CFP,,
Heracleum_maximum,NTm,,
Hesperostipa_comata,Unk,,
Heterotheca_villosa,NTm,,
Heuchera_parvifolia,NTm,,
Hieracium_fendleri,NTm,,
Hordeum_jubatum,NTm,,
