Plot,FireSeverity,VisitDate,Orientation,Slope,Elevation,SoilCov,LittDuffCov,WoodCov,TPHLiveTotal,BALiveTotal,CanCovLiveFVS
tc0225,high,7/11/1997,17,15,2315,17.1,61.7,7.1,550,22.769,43
tc0312,low,6/20/1996,85,25,2353,28.5,45.1,0,540,10.5739,28
tc0317,low,6/25/1997,357,20,2334,29.5,52.1,7.2,550,17.83,37
tc0523,high,6/19/1996,190,20,2336,10,50.1,0,460,14.7698,27
tc0715,low,6/25/1997,271,32,2343,31.5,44,18.8,440,18.0092,31
tc0807,low,7/2/1997,93,15,2382,19.5,57.5,6.2,550,20.1336,35
tc1217,moderate,6/16/1997,358,20,2401,11,67.9,14.9,1990,16.9635,50
tc1222,low,6/19/1996,155,30,2362,26.4,55.4,0,530,12.8801,27
tc1314,moderate,6/5/1997,260,5,2427,7.4,78.7,4.2,440,18.5183,34
tc1421,moderate,6/19/1996,357,35,2364,24,54.2,0,860,20.4283,42
tc1626,low,6/23/1997,190,25,2383,39.5,38.1,3.6,310,11.1481,25
tc1922,low,6/20/1997,185,20,2382,29.9,49.9,3.1,180,15.6087,25
tc1925,low,6/23/1997,187,25,2379,29.3,47.2,1,320,16.3793,26
tc2023,moderate,7/2/1997,110,29,2408,5.3,76.4,3.3,450,19.5315,37
tc2108,moderate,6/10/1997,198,5,2441,17.1,56.6,10.8,470,18.0408,33
tc2413,moderate,7/9/1997,275,20,2437,17.2,67.6,3.95,740,21.545,44
tc2426,high,6/20/1996,254,30,2438,26,57.1,0,440,16.822,32
tc2510,low,6/26/1997,290,12,2465,28.3,55.1,5,310,15.5888,30
tc2515,low,6/22/1996,32,35,2453,39.1,51.6,0,960,19.6233,48
tc2809,high,6/26/1997,250,5,2494,31.5,54,5.2,360,14.1702,30
